soft_month,month,p,m,c
200509,181,193.1,1.30E+06,0.0018463
200510,182,193.3,1.30E+06,0.0006512
200511,183,193.6,1.30E+06,0.0033065
200512,184,194.1,1.30E+06,-0.0014877
200601,185,193.4,1.30E+06,-0.0004572
200602,186,194.2,1.30E+06,0.0048614
200603,187,195,1.40E+06,0.0057294
200604,188,196.5,1.40E+06,0.0075432
200605,189,197.7,1.40E+06,0.0053507
200606,190,198.5,1.40E+06,0.0014336
200607,191,198.5,1.40E+06,0.00103
200608,192,199.2,1.40E+06,0.0050063
200609,193,200.1,1.50E+06,0.0030288
200610,194,200.4,1.50E+06,0.0008973
200611,195,201.1,1.50E+06,0.0083382
200612,196,202.7,1.50E+06,-0.0000149
200701,197,201.6,1.50E+06,-0.00083
200702,198,203.1,1.50E+06,0.0092486
200703,199,204.4,1.50E+06,0.0052161
200704,200,205.4,1.60E+06,0.0036701
200705,201,206.2,1.60E+06,0.0064064
200706,202,207.3,1.60E+06,-0.0016724
200707,203,206.1,1.60E+06,-0.0011716
200708,204,207.3,1.60E+06,0.0063589
200709,205,208,1.60E+06,0.0032664
200710,206,208.9,1.60E+06,0.0036412
200711,207,209.7,1.70E+06,0.0065877
200712,208,210.9,1.70E+06,-0.0014059
200801,209,209.8,1.70E+06,0.0004666
200802,210,211.4,1.70E+06,0.0066434
200803,211,212.1,1.70E+06,0.00567
200804,212,214,1.70E+06,0.007348
200805,213,215.1,1.70E+06,0.0070739
200806,214,216.8,1.80E+06,0.003355
200807,215,216.5,1.80E+06,-0.0010316
200808,216,217.2,1.80E+06,0.0063005
200809,217,218.4,1.80E+06,0.0020422
200810,218,217.7,1.90E+06,-0.00757
