month,real_bal,c
1946-07,4.5879,14.6226
1946-06,2.9782,4.9264
1946-05,3.174,2.9264
1946-04,3.0255,1.2821
1946-03,2.9761,0.6323
1946-02,3.204,0.7804
1946-01,2.9718,0.2411
1945-12,3.0655,0.5041
1945-11,2.8954,0.7283
1945-10,2.6866,0.807
1945-9,2.263,0.3456
1945-8,2.1359,0.2118
1945-7,2.0825,0.1352
